Amenity,Type,Latitude,Longitude
Yew Tee MRT Station,Rail Station,1.397475942,103.7474182
Yio Chu Kang MRT Station,Rail Station,1.381755871,103.8449473
Yishun MRT Station,Rail Station,1.429443085,103.835005
100 AM,Shopping Mall,1.274682815,103.8434884
313@Somerset,Shopping Mall,1.301006569,103.8382466
Aperia,Shopping Mall,1.310473668,103.8643132
Balestier Hill Shopping Centre,Shopping Mall,1.325595948,103.8425716
Bugis Cube,Shopping Mall,1.298140834,103.8556353
Bugis Junction,Shopping Mall,1.299137172,103.8554503
Bugis+,Shopping Mall,1.300951715,103.8551726
Capitol Piazza,Shopping Mall,1.293078848,103.851262
Cathay Cineleisure Orchard,Shopping Mall,1.301492649,103.8364068
Clarke Quay Central,Shopping Mall,1.2888386,103.846558
The Centrepoint,Shopping Mall,1.301450455,103.8400341
City Square Mall,Shopping Mall,1.311382719,103.8566269
City Gate,Shopping Mall,1.3023159,103.8623317
CityLink Mall,Shopping Mall,1.292777731,103.8541735
Duo,Shopping Mall,1.299534349,103.8584017
Far East Plaza,Shopping Mall,1.307266064,103.8337353
Funan,Shopping Mall,1.291347597,103.8499898
Great World City,Shopping Mall,1.293422727,103.8320221
HDB Hub,Shopping Mall,1.33201387,103.8498495
One Holland Village,Shopping Mall,1.3110492,103.7941455
ION Orchard,Shopping Mall,1.304098062,103.8315921
Junction 8,Shopping Mall,1.350182003,103.8485157
Knightsbridge,Shopping Mall,1.302983123,103.8362839
Liat Towers,Shopping Mall,1.305087227,103.8307226
Lucky Plaza,Shopping Mall,1.30446379,103.8340052
Marina Bay Sands,Shopping Mall,1.284662036,103.8610059
The Shoppes at Marina Bay Sands,Shopping Mall,1.28423496,103.8589823
Marina Bay Link Mall,Shopping Mall,1.280195333,103.8542077
Marina Square,Shopping Mall,1.291855333,103.8585781
Millenia Walk,Shopping Mall,1.292679269,103.8603029
Mustafa Centre,Shopping Mall,1.3101121,103.8552909
Ngee Ann City,Shopping Mall,1.30227273,103.8348995
Orchard Central,Shopping Mall,1.300838908,103.8394347
Orchard Gateway,Shopping Mall,1.30160117,103.8388689
Orchard Plaza,Shopping Mall,1.301257294,103.8411501
Midpoint Orchard,Shopping Mall,1.301773133,103.8386597
Palais Renaissance,Shopping Mall,1.306654845,103.829588
People's Park Centre,Shopping Mall,1.285805835,103.8440322
People's Park Complex,Shopping Mall,1.284044879,103.8425908
Plaza Singapura,Shopping Mall,1.30074771,103.8450476
GR.ID,Shopping Mall,1.3001083,103.8492641
Raffles City,Shopping Mall,1.294083047,103.8533395
Scotts Square,Shopping Mall,1.30579943,103.8330747
Shaw Centre,Shopping Mall,1.3061133,103.8319706
